Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
IPF47-Account No&Submit-account associate with customer itself,BN-167,10211,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,21/Dec/22 10:14 PM,23/Dec/22 10:12 PM,22/Mar/23 10:52 PM,23/Dec/22 10:12 PM,,0,MiniStatementPage,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-3,Mini Statement,,,,account associate with customer itself,,,,,0|i0016n:,,BN Sprint 2,,,,,,,,,,,Integratiom,,Skip,,,Done
IPF46-Account No&Submit-account no is invalid,BN-166,10210,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,21/Dec/22 10:14 PM,23/Dec/22 10:12 PM,22/Mar/23 10:52 PM,23/Dec/22 10:12 PM,,0,MiniStatementPage,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-3,Mini Statement,,,,account no is invalid,,,,,0|i0016f:,,BN Sprint 2,,,,,,,,,,,,,Skip,,,Done
IPF45-Account&No Submit-account not associate with manager itself,BN-165,10209,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,21/Dec/22 10:13 PM,23/Dec/22 10:12 PM,22/Mar/23 10:52 PM,23/Dec/22 10:12 PM,,0,MiniStatementPage,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-3,Mini Statement,,,,account not associate with manager itself,,,,,0|i00167:,,BN Sprint 2,,,,,,,,,,,Integratiom,,,,,Done
IP29-Account Number &Submit- Account number does not associate with manager,BN-164,10208,Bug,Resolved,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,21/Dec/22 10:12 PM,23/Dec/22 9:27 PM,22/Mar/23 10:52 PM,23/Dec/22 9:27 PM,,0,EditAccount,,,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,,,,,,,,,"Message displayed ""Account does not exist""",,,,,,,,,,BN-9,Edit Account,,,,"Message should be shown ""Account number does not associate with manager""",,,,,0|i0015z:,,,,,,,,,,,,,Integratiom,"Enter all required field
Submit",Pass,,,Done
IPF44-Account No&Submit-transaction not exist in system,BN-163,10207,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,21/Dec/22 10:12 PM,23/Dec/22 10:12 PM,22/Mar/23 10:52 PM,23/Dec/22 10:12 PM,,0,MiniStatementPage,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-3,Mini Statement,,,,transaction not exist in system,,,,,0|i0015r:,,BN Sprint 2,,,,,,,,,,,Integratiom,,Skip,,,Done
IPF43-Account No&Submit-account no is invalid,BN-162,10206,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,21/Dec/22 10:10 PM,23/Dec/22 10:12 PM,22/Mar/23 10:52 PM,23/Dec/22 10:12 PM,,0,MiniStatementPage,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-3,Mini Statement,,,,account no is invalid,,,,,0|i0015j:,,BN Sprint 2,,,,,,,,,,,Integratiom,,Skip,,,Done
IPF42-Account No&From Date-From Date is greater than To Date,BN-161,10205,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,21/Dec/22 10:09 PM,23/Dec/22 10:12 PM,22/Mar/23 10:52 PM,23/Dec/22 10:12 PM,,0,CustomizedStatementForm,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-4,Customized Statement,,,,From Date is greater than To Date,,,,,0|i0015b:,,BN Sprint 2,,,,,,,,,,,Integratiom,,Skip,,,Done
IPF41-Account No & From-Dateaccount no is invalid,BN-160,10204,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,21/Dec/22 10:08 PM,23/Dec/22 10:12 PM,22/Mar/23 10:52 PM,23/Dec/22 10:12 PM,,0,CustomizedStatementForm,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-4,Customized Statement,,,,Dateaccount no is invalid,,,,,0|i00153:,,BN Sprint 2,,,,,,,,,,,Integratiom,,Skip,,,Done
IPF40-Account No & From Date-From Date is greater than To Date,BN-159,10203,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,21/Dec/22 10:05 PM,23/Dec/22 10:12 PM,22/Mar/23 10:52 PM,23/Dec/22 9:14 PM,,0,CustomizedStatementForm,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-4,Customized Statement,,,,From Date is greater than To Date,,,,,0|i0014v:,,BN Sprint 2,,,,,,,,,,,Integratiom,,Skip,,,Done
IPF39-Account No & From Date-account no is invalid,BN-158,10202,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,21/Dec/22 10:03 PM,23/Dec/22 10:12 PM,22/Mar/23 10:52 PM,23/Dec/22 10:12 PM,,0,CustomizedStatementForm,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-4,Customized Statement,,,,account no is invalid,,,,,0|i0014n:,,BN Sprint 2,,,,,,,,,,,Integratiom,,Skip,,,Done
IPF28 - Customer Id  & Submit - Account Number is invalid,BN-157,10201,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,21/Dec/22 10:03 PM,23/Dec/22 9:27 PM,22/Mar/23 10:52 PM,23/Dec/22 9:27 PM,,0,EditAccount,,,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,,,,,,,,,"Message displayed ""Account Number is invalid""",,,,,,,,,,BN-9,Edit Account,,,,"Message should be shown ""Account Number is invalid""",,,,,0|i0014f:,,BN Sprint 2,,,,,,,,,,,Integratiom,"Enter all requierd field
Submit",Pass,,,Done
IP27-Customer Id &Submit- If account does not associate with manager logged in,BN-156,10200,Bug,Resolved,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,21/Dec/22 9:56 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,23/Dec/22 9:26 PM,,0,DeleteAccount,,,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,,,,,,,,,"Message displayed ""Account does not associate with manager logged in, System displays """,,,,,,,,,,BN-10,Delete Account,,,,"Message should be shown ""Account does not associate with manager logged in, System displays """,,,,,0|i00147:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Fail,,,Done
IPF26 - Customer Id  & Submit - Account Number is invalid,BN-155,10199,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,21/Dec/22 9:40 PM,23/Dec/22 9:47 PM,22/Mar/23 10:52 PM,23/Dec/22 9:47 PM,,0,DeleteAccount,"Account Number is invalid

Test data: Customer ID & Submit: 154247-> submit",,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,,,,,,,,,"System displayed an error: "" Account does not exist""",,,,,,,,,,BN-10,Delete Account,,,,"Message should be shown ""Account Number is invalid""",,,,,0|i0013z:,,BN Sprint 2,,,,,,,,,,,Integratiom,"Enter all requierd field
Submit",Pass,,,Done
IPF22 - Account Number - The destination account number does not associate with customer,BN-154,10198,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 9:37 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Deposit,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,,,,,,,,,,,BN-12,Deposit,,,,The destination account number does not associate with customer,,,,,0|i0013r:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Skip,,,To Do
IPF21 - Account Number - The destination account number is invalid,BN-153,10197,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 9:35 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Deposit,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,,,,,,,,,,,BN-12,Deposit,,,,The destination account number is invalid,,,,,0|i0013j:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Skip,,,To Do
IPF20 - Account Number - The destination account number does not associate with manager,BN-152,10196,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 9:32 PM,30/Dec/22 11:13 PM,05/Jan/23 8:01 AM,,,0,Deposit,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,,,,,,,,,,,BN-12,Deposit,,,,The destination account number does not associate with manager,,,,,0|i0013b:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Skip,,,To Do
IPF19 - Account Number - The destination account number is invalid,BN-151,10195,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 9:30 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Deposit,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,,,,,,,,,,,BN-12,Deposit,,,,The destination account number is invalid,,,,,0|i00133:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Skip,,,To Do
IPF38-Old Password &New Password-Old Password is invalid,BN-150,10194,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,21/Dec/22 9:28 PM,23/Dec/22 10:13 PM,22/Mar/23 10:52 PM,23/Dec/22 10:13 PM,,0,ChangePassword,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-5,Change Password,,,,Old Password is invalid,,,,,0|i0012v:,,BN Sprint 2,,,,,,,,,,,,,Skip,,,Done
IPF18 - Account Number & Amount - The source account does not associate with customer,BN-149,10193,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 9:26 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,The source account does not associate with customer,,,,,0|i0012n:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Skip,,,To Do
IPF37 - Old Password&New Password- Old Password is invalid,BN-148,10192,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,21/Dec/22 9:25 PM,23/Dec/22 10:12 PM,22/Mar/23 10:52 PM,23/Dec/22 10:12 PM,,0,ChangePassword,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-5,Change Password,,,,Old Password is invalid,,,,,0|i0012f:,,BN Sprint 2,,,,,,,,,,,Integratiom,,Skip,,,Done
IPF17 - Account Number & Amount - The source account does not have the necessary balance,BN-147,10191,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 9:24 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,The source account does not have the necessary balance,,,,,0|i00127:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Skip,,,To Do
IPF16 - Account Number & Amount - The source account number is invalid,BN-146,10190,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 9:22 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,The source account number is invalid,,,,,0|i0011z:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Skip,,,To Do
IPF15 - Account Number & Amount - The source account does not associate with manager,BN-145,10189,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 9:21 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,The source account does not associate with manager,,,,,0|i0011r:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Skip,,,To Do
IPF14 - Account Number & Amount  - The source account does not have the necessary balance,BN-144,10188,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 9:19 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,The source account does not have the necessary balance,,,,,0|i0011j:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Skip,,,To Do
IPF13 - Account Number & Amount - The source account number is invalid,BN-143,10187,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 9:16 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,The source account number is invalid,,,,,0|i0011b:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Skip,,,To Do
